FID,Id,ORIG_FID,Id_1,POINT_X,POINT_Y,X_UTM,Y_UTM
13194,0,0,0,745858.399245999990000,521748.098072000020000,560572.681137999990000,4563966.789230000200000
13195,0,0,0,745854.377267000030000,521745.127602000020000,560568.805242000030000,4563963.635049999700000
13196,0,0,0,745850.355288999970000,521742.157132000020000,560564.929344999950000,4563960.480879999700000
13197,0,0,0,745846.333311000020000,521739.186662000020000,560561.053449000000000,4563957.326700000100000
13198,0,0,0,745842.311332999960000,521736.216192000020000,560557.177553000050000,4563954.172530000100000
13199,0,0,0,745838.289355000020000,521733.245722000020000,560553.301657999980000,4563951.018349999600000
13200,0,0,0,745834.267375999950000,521730.275252000020000,560549.425763000040000,4563947.864179999600000
13201,0,0,0,745830.245398000000000,521727.304783000030000,560545.549867999970000,4563944.710000000000000
13202,0,0,0,745826.223420000050000,521724.334313000030000,560541.673973000030000,4563941.555830000000000
13203,0,0,0,745822.201441999990000,521721.363843000030000,560537.798078999970000,4563938.401650000400000
13204,0,0,0,745818.179464000040000,521718.393373000030000,560533.922185000030000,4563935.247469999800000
13205,0,0,0,745814.157484999970000,521715.422903000030000,560530.046290999980000,4563932.093299999800000
13206,0,0,0,745810.135507000030000,521712.452433000030000,560526.170397000040000,4563928.939120000200000
13207,0,0,0,745806.113528999970000,521709.481963000030000,560522.294503999990000,4563925.784939999700000
13208,0,0,0,745802.091551000020000,521706.511493999980000,560518.418610999940000,4563922.630760000100000
13209,0,0,0,745798.069571999950000,521703.541023999980000,560514.542718000010000,4563919.476590000100000
13210,0,0,0,745794.047594000000000,521700.570553999980000,560510.666825999970000,4563916.322409999600000
13211,0,0,0,745790.025616000060000,521697.600083999980000,560506.790933000040000,4563913.168230000000000
13212,0,0,0,745786.003637999990000,521694.629613999980000,560502.915041000000000,4563910.014050000300000
13213,0,0,0,745781.981660000050000,521691.659143999980000,560499.039149999970000,4563906.859869999800000
13214,0,0,0,745777.959680999980000,521688.688673999980000,560495.163258000040000,4563903.705699999800000
13215,0,0,0,745773.937703000030000,521685.718203999980000,560491.287367000010000,4563900.551520000200000
13216,0,0,0,745769.915724999970000,521682.747734999980000,560487.411475999980000,4563897.397339999700000
13217,0,0,0,745765.893747000020000,521679.777264999980000,560483.535585999950000,4563894.243160000100000
13218,0,0,0,745761.871768999960000,521676.806794999980000,560479.659696000050000,4563891.088979999500000
13219,0,0,0,745757.849790000010000,521673.836324999980000,560475.783806000020000,4563887.934799999900000
13220,0,0,0,745753.827811999940000,521670.865854999980000,560471.907916000000000,4563884.780620000300000
13221,0,0,0,745749.805834000000000,521667.895384999980000,560468.032025999970000,4563881.626439999800000
13222,0,0,0,745745.783856000050000,521664.924914999980000,560464.156136999950000,4563878.472260000200000
13223,0,0,0,745745.396396000050000,521660.267846999980000,560463.983514999970000,4563873.799340000400000
13224,0,0,0,745745.724682000000000,521655.278635000000000,560464.540176999990000,4563868.827340000300000
13225,0,0,0,745746.052968999950000,521650.289424000020000,560465.096840000010000,4563863.855349999900000
13226,0,0,0,745746.381256000020000,521645.300212999980000,560465.653502000030000,4563858.883349999800000
13227,0,0,0,745746.709541999970000,521640.311002000000000,560466.210164000050000,4563853.911349999700000
13228,0,0,0,745747.037829000040000,521635.321791000020000,560466.766826999960000,4563848.939349999700000
13229,0,0,0,745747.366115999990000,521630.332579999990000,560467.323488999970000,4563843.967349999600000
13230,0,0,0,745747.694402000050000,521625.343369000010000,560467.880150999990000,4563838.995350000400000
13231,0,0,0,745748.022689000000000,521620.354157000020000,560468.436813000010000,4563834.023350000400000
13232,0,0,0,745748.350975999960000,521615.364945999990000,560468.993474000020000,4563829.051350000300000
13233,0,0,0,745748.679262000020000,521610.375735000010000,560469.550136000030000,4563824.079350000200000
13234,0,0,0,745749.007548999970000,521605.386523999970000,560470.106798000050000,4563819.107339999600000
13235,0,0,0,745749.335836000040000,521600.397312999990000,560470.663458999940000,4563814.135339999600000
13236,0,0,0,745749.664121999990000,521595.408102000020000,560471.220120999960000,4563809.163340000400000
13237,0,0,0,745749.992409000060000,521590.418890999980000,560471.776781999970000,4563804.191340000400000
