ID,drainagecl,MUKEY
133,Very poorly drained,162583
134,Poorly drained,162584
135,Well drained,162585
136,Well drained,162586
137,Very poorly drained,162587
138,,162588
139,Excessively drained,162589
140,Excessively drained,162590
141,Excessively drained,162591
142,Well drained,162592
143,Well drained,162593
144,Well drained,162594
145,Very poorly drained,162595
146,,162596
147,Very poorly drained,162598
148,Poorly drained,162599
149,Well drained,162600
150,Well drained,162601
151,Well drained,162602
152,,1452045
153,Moderately well drained,160846
154,Poorly drained,160847
155,Somewhat poorly drained,160848
156,Somewhat poorly drained,160849
157,Poorly drained,160850
158,Somewhat poorly drained,160851
159,Somewhat poorly drained,160852
160,Well drained,160853
161,Well drained,160854
162,Somewhat poorly drained,160855
163,Moderately well drained,160856
164,Well drained,160857
165,Somewhat excessively drained,160858
166,Somewhat excessively drained,160859
167,Somewhat poorly drained,160860
168,Somewhat poorly drained,160861
169,Somewhat poorly drained,160862
170,Very poorly drained,160863
171,Poorly drained,160864
172,Very poorly drained,160865
173,Very poorly drained,160866
174,Very poorly drained,160867
175,Well drained,160868
176,Very poorly drained,160869
177,Somewhat poorly drained,160870
178,Very poorly drained,160871
179,Very poorly drained,160872
180,Well drained,160873
181,Well drained,160874
182,Well drained,160875
183,Well drained,160876
184,Well drained,160877
185,Well drained,160878
186,Well drained,160879
187,Well drained,160880
188,Well drained,160881
189,Well drained,160882
190,Well drained,160883
191,Well drained,160884
192,Well drained,160885
193,Well drained,160886
194,Well drained,160887
195,Moderately well drained,160888
196,Moderately well drained,160889
197,Moderately well drained,160890
198,Moderately well drained,160891
199,Well drained,160892
200,Well drained,160893
201,Moderately well drained,160894
202,Moderately well drained,160895
203,Moderately well drained,160896
204,Moderately well drained,160897
205,Well drained,160898
206,Well drained,160899
207,Well drained,160900
208,Well drained,160901
209,Well drained,160902
210,Well drained,160903
211,Very poorly drained,160904
212,Very poorly drained,160905
213,Very poorly drained,160906
214,,160907
215,Poorly drained,160908
216,Well drained,160909
217,Well drained,160910
218,Well drained,160911
219,Well drained,160912
220,Well drained,160913
221,Well drained,160914
222,Very poorly drained,160915
223,Poorly drained,160916
224,Poorly drained,160917
225,Well drained,160918
226,Well drained,160919
227,Somewhat poorly drained,160920
228,Very poorly drained,160921
229,Well drained,160922
230,Moderately well drained,160923
231,,160924
232,Very poorly drained,160926
233,Poorly drained,160927
234,Poorly drained,160928
235,Well drained,160929
236,Well drained,160930
237,Well drained,160931
238,Somewhat poorly drained,160932
239,Very poorly drained,272646
240,Somewhat poorly drained,272647
241,Somewhat poorly drained,272648
242,Moderately well drained,272649
243,Very poorly drained,272650
244,Excessively drained,272651
245,Excessively drained,272652
246,Excessively drained,272653
247,Very poorly drained,272654
248,Well drained,272655
249,Well drained,272656
250,Well drained,272657
251,Very poorly drained,272658
252,Well drained,272659
253,Well drained,272660
254,Somewhat poorly drained,272661
255,Poorly drained,272662
256,Moderately well drained,272663
257,Very poorly drained,272664
258,Somewhat poorly drained,272665
259,Very poorly drained,272666
260,Very poorly drained,272667
261,Very poorly drained,272668
262,Very poorly drained,272669
263,Very poorly drained,272670
264,Poorly drained,272671
265,Moderately well drained,272672
266,Moderately well drained,272673
267,Moderately well drained,272674
268,Somewhat poorly drained,272675
269,Very poorly drained,272676
270,Very poorly drained,272677
271,Well drained,272678
272,Well drained,272679
273,Very poorly drained,272680
274,Very poorly drained,272681
275,Poorly drained,272682
276,Poorly drained,272683
277,Well drained,272684
278,Well drained,272685
279,Well drained,272686
280,Well drained,272687
281,Well drained,272688
282,Somewhat poorly drained,272689
283,Very poorly drained,272690
284,Somewhat poorly drained,272691
285,Somewhat poorly drained,272692
286,Very poorly drained,272693
287,Well drained,272694
