"","FID","density","basal","POINT_X","POINT_Y","Line","Type"
"372",185,80.904802654,7.91204823974,521177.732203,4577213.53719,"West","Forest"
"373",186,0,0,518774.54482,4582872.58176,"West","Prairie"
"374",186,29.7266292402,10.1372007102,593816.941848,4563684.79301,"East","Savanna"
"375",187,18.0081488098,6.60640130913,586617.489435,4561842.29781,"East","Savanna"
"376",187,104.29547866,38.2614445287,522019.769767,4586089.64872,"West","Forest"
"377",188,13.8047514556,3.49748540482,525212.036283,4582073.11034,"West","Savanna"
"378",188,42.9819500163,4.81321989422,593963.701998,4559654.02034,"East","Savanna"
"379",189,56.0818510433,6.93377078113,517962.732649,4585277.78838,"West","Forest"
"380",189,83.9168405261,37.5888209937,589087.25058,4560292.83278,"East","Forest"
"381",190,0,0,524417.382036,4577219.59666,"West","Prairie"
"382",190,93.9374874018,20.610292279,584902.990353,4563405.35126,"East","Forest"
"383",191,5.123088045,0.573695453293,520386.038671,4581255.81986,"West","Savanna"
"384",191,27.7786945187,5.63026890887,593686.832096,4566916.91135,"East","Savanna"
"385",192,0,0,516317.593802,4580454.02053,"West","Prairie"
