"","FID","POINT_X","POINT_Y","Join","Surveyor","SurveyYear","State","County","cornerid","TreeNo","Group_","L2_tree","L1_tree","L3_tree","TDiameter","TDistance","TDegree","water","generalnotes","Line","AREASYMBOL","MUSYM","MUKEY","temp","precip","DEM","om_r","sandtotal_r","silttotal_r","claytotal_r","kwfact","awc_r","ksat_r","CLASS","NCCPI","distance"
"3866",3865,749669.9991,521416.6021,"232123700440tree1","Sylvester Sibley",1833,"IN","Marshall",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,2.212848,"315"," "," ","East","IN099","RopB",1702566,9.960000038,1016.169983,260.7056885,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Developed_ Open Space",0.75,3551.78095009082
"3867",3866,749663.4833,521402.2155,"232123700440tree2","Sylvester Sibley",1833,"IN","Marshall",NA,"tree2","Other","Sugar Maple","Sugar","Maple",20,15.0876,"210"," "," ","East","IN099","RopB",1702566,9.960000038,1016.169983,260.9953003,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Cultivated Crops",0.75,3552.19689065794
"3868",3867,769934.8431,549101.8636,"235143700400tree1","99999",1829,"IN","St. Joseph",NA,"tree1","Other","Maple","Maple","Maple",20,1.207008,"337"," "," ","East","IN039","BuuA",165330,9.859999657,993.2000122,263.2087402,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Developed_ Open Space",0.790000021,26845.2043368335
"3869",3868,752273.9259,551313.9225,"235133200500tree2","Robert Clark Jr",1834,"IN","Marshall",NA,"tree2","Other","Sugar Maple","sugar","Maple",20,5.0292,"244"," "," ","East","IN141","ReyA",200282,9.81000042,1033.089966,252.1358795,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,"Cultivated Crops",0.800000012,11427.3275241724
"3870",3869,768311.5646,548361.7674,"235143600340tree1","Reuben J. Dawson",1834,"IN","St. Joseph",NA,"tree1","Other","Maple","Maple","Maple",20,22.933152,"300"," "," ","East","IN039","CvdB",165352,9.850000381,996.9299927,265.0471802,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Low Intensity",0.550000012,25112.1383930292
"3871",3870,774278.1061,523177.4088,"232153400600tree2","Reuben J. Dawson",1834,"IN","Kosciusko",NA,"tree2","Other","Sycamore","sycamore","Sycamore",20,6.638544,"176"," "," ","East","IN085","Se",160916,9.930000305,990.1199951,246.9161682,1.51,50.9300003,25.2099991,23.8600006,0.22,0.16,10.4099998,"Developed_ Open Space",0.639999986,27707.0716420478
"3872",3871,749100.4298,528726.7867,"233123640300tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,1.00584,"106"," "," ","East","IN099","SkgA",2481969,10.02999973,1017.570007,258.2528381,1.77,75.1600037,15.1599998,9.6800003,0.08,0.11,66.6200027,"Cultivated Crops",0.550000012,3664.06789774637
"3873",3872,753698.5157,545646.6093,"235133300140tree2","Robert Clark Jr",1834,"IN","Marshall",NA,"tree2","Other","Black Ash","B ash","Ash",20,1.207008,"106"," "," ","East","IN099","ReyA",1702564,9.869999886,1020.76001,246.0272522,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,"Cultivated Crops",0.800000012,10249.2541811633
"3874",3873,751877.8495,543277.4872,"234133200600tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Other","Black Ash","b ash","Ash",20,118.286784,"263"," "," ","East","IN099","ReyA",1702564,9.909999847,1021.219971,247.1275787,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,"Cultivated Crops",0.800000012,8171.39368160052
"3875",3874,776618.4561,515140.7631,"232153540100tree2","S. Sibley",1833,"IN","Kosciusko",NA,"tree2","Other","Beech","beech","Beech",20,5.431536,"325"," "," ","East","IN085","Re",160908,10.10999966,989.8699951,262.1318359,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001," ",0.800000012,30637.2748662953
"3876",3875,777508.1149,522354.9006,"232153600540tree2","Reuben J. Dawson",1834,"IN","Kosciusko",NA,"tree2","Other","Beech","Beech","Beech",20,6.03504,"102"," "," ","East","IN085","OrA",160898,9.93999958,988.5499878,250.479599,0.57,83.2200012,11.2700005,5.5100002,0.11,0.1,82.8499985,"Cultivated Crops",0.560000002,30950.2560470325
"3877",3876,775043.4563,518378.5771,"232153440300tree2","Reuben J. Dawson",1834,"IN","Kosciusko",NA,"tree2","Other","Elm","elm","Elm",20,9.05256,"36"," "," ","East","IN085","WlB",160929,10.02999973,989.789978,270.8281555,1,49.4900017,31.0100002,19.5,0.29,0.18,8.9799995,"Cultivated Crops",0.75999999,28888.1047887412
