FID,POINT_X,POINT_Y,Join,Surveyor,SurveyYear,State,County,cornerid,TreeNo,Group_,L2_tree,L1_tree,L3_tree,TDiameter,TDistance,TDegree,water,generalnotes,Line,AREASYMBOL,MUSYM,MUKEY,temp,precip,DEM,om_r,sandtotal_r,silttotal_r,claytotal_r,kwfact,awc_r,ksat_r,CLASS,NCCPI
655,706006.69770,551337.12540,235137340400tree2,William Clark,1834,IN,LaPorte,NA,tree2,Oak,Yellow Oak,y oak,Oak,20,6.236208,46, , ,West,IN091,TcB,272695,9.819999695,1004.599976,219.5371857,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,Developed_ Open Space,0.550000012
656,716979.19990,521868.92760,232127500400tree2,Robert Clark Jr,1833,IN,Starke,NA,tree2,Oak,Black Oak,B oak,Oak,20,8.449056,47, , ,West,IN149,Nf,162622,9.81000042,1004.049988,219.2393036,1.9,88.3899994,8.0799999,3.53,0.07,0.09,91.7399979,Developed_ Medium Intensity,0.439999998
657,730146.81190,547084.18920,235117640200tree2,William Clark,1834,IN,St. Joseph,NA,tree2,Oak,Yellow Oak,y oak,Oak,20,9.454896,313, , ,West,IN141,CnbB,625115,9.850000381,1014.130005,223.1537781,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,Developed_ Open Space,0.449999988
658,730156.18330,526924.64160,233117700140tree1,David Hillis,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,11.06424,217, , ,West,IN149,BeA,162607,9.850000381,1022.219971,228.9211578,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,Cultivated Crops,0.319999993
659,714518.49080,539714.64910,234127300300tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,20,0.804672,228, , ,West,IN149,PtA,162628,9.800000191,1003.26001,208.0469666,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,Herbaceous,0.370000005
660,729989.99690,542271.15040,234117640500tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,23.335488,48.5, , ,West,IN149,BeA,162607,9.859999657,1014.75,221.708786,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,Developed_ Open Space,0.319999993
661,724612.41800,548927.13960,235117300300tree2,William Clark,1834,IN,St. Joseph,NA,tree2,Oak,Red Oak,R. Oak,Oak,20,55.723536,49, , ,West,IN091,Qu,272683,9.779999733,1009.280029,210.4752655,1.16,56.4000015,32.1599998,11.4399996,0.36,0.15,9.1700001,Cultivated Crops,0.649999976
662,737469.28110,542889.31410,234113500540tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W oak,Oak,20,10.863072,311, , ,West,IN099,RopB,1702566,9.989999771,1018.400024,241.1604462,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Open Space,0.75
663,722315.77160,532931.74490,233117200500tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,14.484096,309.5, , ,West,IN149,BeA,162607,9.800000191,1012.119995,217.1737823,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,Developed_ Open Space,0.319999993
664,735502.75230,532413.96600,233113400500tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Black Oak,B. Oak,Oak,20,7.443216,118, , ,West,IN099,CnbB,1702543,10.01000023,1018.75,248.6513824,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,Developed_ Open Space,0.449999988
665,736635.02820,518668.76510,232113500240tree1,Jeremiah Smith,1836,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,20,19.714464,62, , ,West,IN099,WkxC2,2481978,9.880000114,1032.609985,234.6582336,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,Deciduous Forest,0.649999976
666,717572.68620,553998.77400,235127440600tree1,William Clark,1834,IN,LaPorte,NA,tree1,Oak,Yellow Oak,y oak,Oak,20,8.247888,203, , ,West,IN091,TcB,272695,9.81000042,1004.530029,217.8036499,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,Deciduous Forest,0.550000012
667,744823.86290,520854.49540,232123400400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Bur Oak,Burr Oak,Oak,20,36.813744,4, , ,West,IN099,WkxB,2481976,9.949999809,1020.059998,244.3090057,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,Cultivated Crops,0.790000021
668,706777.26990,548895.46530,235137400240tree2,William Clark,1834,IN,LaPorte,NA,tree2,Oak,Yellow Oak,y oak,Oak,20,6.638544,307, , ,West,IN091,TcA,272694,9.800000191,1001.669983,218.6431122,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,Cultivated Crops,0.550000012
669,724156.90090,537679.79330,234117300200tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,20,1,49.5, , ,West,IN149,Me,162616,9.800000191,1012.140015,214.3935394,1.72,89.7099991,6.8600001,3.4300001,0.07,0.08,91.7399979,Developed_ Open Space,0.479999989
670,728160.68280,519722.72460,232117600300tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,Black Oak,B oak,Oak,20,66.38544,251, , ,West,IN149,CrA,162611,9.829999924,1033.849976,225.8852692,1.04,44.4199982,35.6699982,19.9099998,0.35,0.11,3.78,Deciduous Forest,0.479999989
671,708742.74420,518999.13850,232137600200tree2,Abner E Van Ness,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,1,305, , ,West,IN149,Mr,162620,9.899999619,983.6699829,214.9723053,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Developed_ Open Space,0.370000005
672,727342.05590,518191.15700,232117540200tree2,Abner E. VanNess,1834,IN,Starke,NA,tree2,Oak,White Oak,W oak,Oak,20,14.685264,304, , ,West,IN149,OvA,162624,9.850000381,1033.959961,226.5503845,0.48,86.5899963,8.5200005,4.9000001,0.1,0.09,86.6399994,Deciduous Forest,0.449999988
673,707006.08430,517481.09300,232137500100tree2,Abner E Van Ness,1833,IN,Starke,NA,tree2,Oak,Yellow Oak,y oak,Oak,20,8.650224,303, , ,West,IN149,PlA,162625,9.899999619,982.2299805,215.151535,0.73,94.3499985,3.74,1.91,0.03,0.07,55, ,0.330000013
674,725165.87490,524740.12360,232117400600tree2,Abner E. VanNess,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,55.723536,303, , ,West,IN149,Wk,162636,9.779999733,1023.700012,221.62117,1.9400001,87.7600021,7.52,4.7199998,0.08,0.09,91.7399979,Developed_ Open Space,0.529999971
675,713921.47240,525998.32530,232127300640tree1,Robert Clark Jr,1833,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,20,1.207008,64, , ,West,IN149,PtA,162628,9.819999695,998.6199951,219.5694122,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,Developed_ Low Intensity,0.370000005
676,729466.09600,529363.84020,233117640300tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,13.478256,147, , ,West,IN149,PtA,162628,9.850000381,1018.840027,226.034256,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,Cultivated Crops,0.370000005
677,729450.22460,529381.53260,233117640300tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,Black Oak,b oak,Oak,20,10.863072,302, , ,West,IN149,PtA,162628,9.850000381,1018.840027,226.1343079,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,Developed_ Open Space,0.370000005
678,707391.28030,525431.52620,232137500600tree1,Abner E. Van Ness,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,18.10512,131, , ,West,IN149,PlB,162626,9.850000381,986.9199829,211.5058746,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Developed_ Low Intensity,0.330000013
679,731152.76080,527709.87990,233113140200tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,20,6.839712,104, , ,West,IN099,AahAK,2530222,9.850000381,1021.090027,223.0259552,0.34,87.1800003,7.2600002,5.5599999,0.09,0.07,91.7399979,Deciduous Forest,0.209999993
680,739211.59910,524202.03740,232113640600tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Bur Oak,Burr Oak,Oak,20,13.07592,170, , ,West,IN099,OndA,2481950,9.989999771,1023.080017,241.8306274,0.92,57.1100006,26.4699993,16.4200001,0.27,0.16,9.1700001,Cultivated Crops,0.779999971
681,719355.06900,538713.56000,234127600240tree2,Jeremiah Smith,1833,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,19.11096,60, , ,West,IN149,Mr,162620,9.800000191,1007.380005,211.6151428,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Developed_ Open Space,0.370000005
682,708318.38580,545616.07600,234137500640tree1,Jeremiah Smith,1835,IN,LaPorte,NA,tree1,Oak,Black Oak,b oak,Oak,20,4.02336,209, , ,West,IN091,BtA,272649,9.770000458,1000.719971,212.4446564,0.54,88.9199982,7.3099999,3.77,0.12,0.07,91.7399979,Developed_ Low Intensity,0.389999986
683,711319.28880,541447.40510,234137700400tree1,Jeremiah Smith,1834,IN,LaPorte,NA,tree1,Oak,White Oak,w oak,Oak,20,15.0876,207, , ,West,IN149,Mr,162620,9.789999962,1001.169983,206.7447052,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Cultivated Crops,0.370000005
684,710654.77020,526184.28980,232137700640tree2,Abner E Van Ness,1833,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,25.347168,295, , ,West,IN149,PtA,162628,9.819999695,992.9000244,214.2698822,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,Herbaceous,0.370000005
685,733364.16580,540544.20700,234113240400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,20,11.06424,155, , ,West,IN099,GdnA,2451235,9.899999619,1016.320007,232.7983856,3.53,77.1800003,13.3500004,9.4700003,0.14,0.11,16.25,Cultivated Crops,0.720000029
686,740334.46210,532254.50800,233113700500tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Red Oak,Red Oak,Oak,20,8.247888,262, , ,West,IN099,OlcA,1702559,10.01000023,1019.27002,239.509552,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Developed_ Open Space,0.660000026
687,712494.30160,529319.53830,233127200240tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,1.810512,300, , ,West,IN149,PlB,162626,9.81000042,998.9699707,214.7180939,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Developed_ Low Intensity,0.330000013
688,706273.15510,519115.26680,232137440200tree2,Abner E. Van Ness,1834,IN,Starke,NA,tree2,Oak,Black Oak,b oak,Oak,20,36.813744,292, , ,West,IN149,Mr,162620,9.899999619,981.9699707,213.9606171,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Cultivated Crops,0.370000005
689,706749.68370,528762.06880,233137440200tree2,Jeremiah Smith,1835,IN,LaPorte,NA,tree2,Oak,Black Oak,b oak,Oak,20,5.632704,69.5, , ,West,IN149,PlB,162626,9.819999695,991,212.4699097,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Developed_ Open Space,0.330000013
690,728462.83720,545540.88710,235117540100tree1,Robert Clark Jr,1833,IN,St. Joseph,NA,tree1,Oak,Yellow Oak,Y. Oak,Oak,20,12.874752,323, , ,West,IN141,BsxA,612129,9.850000381,1013.109985,219.3762665,0.6,86.9800034,8.7399998,4.2800002,0.1,0.09,91.7399979,Developed_ Open Space,0.419999987
691,734690.04790,532444.39880,233113340500tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Black Oak,B. Oak,Oak,20,5.632704,236, , ,West,IN099,RoqC2,2481965,10,1018.469971,243.5467834,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Deciduous Forest,0.660000026
692,727158.40100,553657.08150,235117440600tree2,William Clark,1834,IN,St. Joseph,NA,tree2,Oak,White Oak,w oak,Oak,20,11.06424,288, , ,West,IN141,OlcA,612130,9.819999695,1010.890015,213.682663,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Cultivated Crops,0.660000026
693,731373.32330,532554.50990,233113140500tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Black Oak,B. Oak,Oak,20,37.819584,106, , ,West,IN099,AbhAN,1702539,9.869999886,1017.609985,219.6514435,0.3,89,6,5,0.15,0.06,91.7399979,Cultivated Crops,0.790000021
694,732177.61770,530100.80510,233113200340tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,Black Oak,B. Oak,Oak,20,12.874752,287, , ,West,IN099,PrxB,2481963,9.869999886,1019.380005,232.3854828,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Developed_ Open Space,0.389999986
695,726671.70740,540821.94740,234117440400tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,Red Oak,red oak,Oak,20,27.761184,313, , ,West,IN149,Mr,162620,9.829999924,1013.179993,217.8068848,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Developed_ Open Space,0.370000005
696,704643.22590,517560.49290,232137340100tree1,Abner E Van Ness,1833,IN,Starke,NA,tree1,Oak,Yellow Oak,y oak,Oak,20,39.630096,62, , ,West,IN149,Nf,162622,9.899999619,981.5100098,214.6548157,1.9,88.3899994,8.0799999,3.53,0.07,0.09,91.7399979,Hay/Pasture,0.439999998
697,730026.93250,523693.22940,232117700540tree1,David Hillis,1829,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,20,3.621024,180, , ,West,IN099,WkxB,2481976,9.840000153,1027.699951,230.4502716,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,Woody Wetlands,0.790000021
698,721822.83170,520847.11690,232117200340tree2,Abner E. VanNess,1834,IN,Starke,NA,tree2,Oak,Black Oak,B oak,Oak,20,14.282928,76, , ,West,IN149,PtA,162628,9.779999733,1022.650024,221.643692,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,Developed_ Low Intensity,0.370000005
699,734598.48300,529219.43930,233113340300tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,20,24.542496,78, , ,West,IN099,BsxA,2481932,9.949999809,1020.27002,232.5386658,0.6,86.9800034,8.7399998,4.2800002,0.1,0.09,91.7399979,Developed_ Low Intensity,0.419999987
700,739021.61600,516153.95900,232113640100tree2,David Hillis,1833,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,20,22.530816,78, , ,West,IN099,WkxC2,2481978,9.840000153,1029.640015,240.1287537,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,Developed_ Open Space,0.649999976
701,718559.57890,539553.68250,234127540300tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,Black Oak,b oak,Oak,20,4.224528,282, , ,West,IN149,Mr,162620,9.800000191,1007.140015,208.6073914,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Cultivated Crops,0.370000005
702,716816.52060,538011.77380,234127440200tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,Black Oak,b oak,Oak,20,56.528208,282, , ,West,IN149,Mr,162620,9.819999695,1005.380005,209.166748,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Developed_ Open Space,0.370000005
703,715009.45540,531636.71730,233127340400tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,20,4.425696,296.75, , ,West,IN149,PtA,162628,9.819999695,1003.039978,210.1491241,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,Cultivated Crops,0.370000005
704,717480.01560,552405.15920,235127440500tree2,William Clark,1834,IN,LaPorte,NA,tree2,Oak,White Oak,w oak,Oak,20,16.696944,281, , ,West,IN091,Gf,272662,9.800000191,1004.219971,215.0442352,1.6900001,76.4199982,13.5900002,9.9899998,0.15,0.13,15.3999996,Developed_ Open Space,0.699999988
705,737439.91120,517829.66810,232113540200tree2,Jeremiah Smith,1836,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,20,27.761184,80, , ,West,IN099,ReyA,1702564,9.819999695,1030.589966,231.3217621,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,Developed_ Open Space,0.800000012
706,743327.17930,524913.99530,232123300640tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,20,2.615184,80, , ,West,IN099,RopB,1702566,10.02000046,1020.559998,239.9195709,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75
707,737374.65470,516208.23120,232113540100tree2,David Hillis,1833,IN,Marshall,NA,tree2,Oak,Yellow Oak,Y. Oak,Oak,20,15.892272,280, , ,West,IN099,WkxC2,2481978,9.829999924,1033.77002,238.8274536,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,Developed_ Open Space,0.649999976
708,719109.71110,535483.12260,233127600640tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,92.839032,277, , ,West,IN149,PlC,162627,9.800000191,1007.919983,212.5019531,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Cultivated Crops,0.310000002
709,735046.52190,516283.63500,232113400100tree1,David Hillis,1833,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,20,80.4672,86, , ,West,IN099,WkxB,2481976,9.850000381,1036.27002,234.4966125,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001, ,0.790000021
710,717748.32130,537998.63760,234127500200tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,74.230992,62.25, , ,West,IN149,Me,162616,9.800000191,1006.880005,209.9171448,1.72,89.7099991,6.8600001,3.4300001,0.07,0.08,91.7399979,Developed_ Open Space,0.479999989
711,734539.65790,552571.12650,235113300540tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,20,4.02336,245, , ,West,IN141,OlcA,612130,9.840000153,1018.52002,224.2299194,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Hay/Pasture,0.660000026
712,702412.24040,524817.92760,232137200540tree1,Abner E. Van Ness,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,75.035664,258, , ,West,IN149,Me,162616,9.890000343,982.4400024,208.2043304,1.72,89.7099991,6.8600001,3.4300001,0.07,0.08,91.7399979,Cultivated Crops,0.479999989
713,721958.83640,544179.66480,234117140600tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,20,58.942224,215.5, , ,West,IN149,Me,162616,9.75,1008.01001,208.9752197,1.72,89.7099991,6.8600001,3.4300001,0.07,0.08,91.7399979,Cultivated Crops,0.479999989
714,717205.28740,545977.82940,235127440100tree2,William Clark,1834,IN,LaPorte,NA,tree2,Oak,White Oak,w oak,Oak,20,1,272.5, , ,West,IN091,Gf,272662,9.760000229,1004.179993,208.0201263,1.6900001,76.4199982,13.5900002,9.9899998,0.15,0.13,15.3999996,Cultivated Crops,0.699999988
715,728290.41860,526211.52150,233117600100tree2,David Hillis,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,229.33152,272.34, , ,West,IN149,PlB,162626,9.819999695,1022.98999,227.213562,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Developed_ Open Space,0.330000013
716,744135.53960,525689.82850,233123340100tree2,Robert Clark,1833,IN,Marshall,NA,tree2,Oak,Yellow Oak,Y. Oak,Oak,20,11.265408,272, , ,West,IN099,RoqC2,2481965,9.989999771,1019.710022,235.960495,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Cultivated Crops,0.660000026
717,711447.43590,525279.42010,232127140600tree1,Robert Clark Jr,1833,IN,Starke,NA,tree1,Oak,Black Oak,B oak,Oak,20,15.0876,165, , ,West,IN149,MpB,162619,9.829999924,993.1400146,217.7677155,0.6,68.3899994,21.3700008,10.2399998,0.22,0.12,62.0099983,Developed_ Open Space,0.589999974
718,734289.79630,516306.72530,232113340100tree1,David Hillis,1833,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,20,127.138176,88, , ,West,IN099,BsxA,2481932,9.850000381,1036.469971,231.2516632,0.6,86.9800034,8.7399998,4.2800002,0.1,0.09,91.7399979,Developed_ Open Space,0.419999987
719,724595.20490,550512.85070,235117300400tree2,William Clark,1834,IN,St. Joseph,NA,tree2,Oak,Red Oak,r oak,Oak,20,25.548336,271, , ,West,IN091,Ph,272682,9.819999695,1009.219971,210.4487152,1.87,53.6399994,30.8400002,15.5200005,0.2,0.16,28.8700008,Developed_ Low Intensity,0.639999986
720,712574.05250,530091.44490,233127200300tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,56.930544,121.75, , ,West,IN149,Px,162630,9.81000042,998.9699707,206.8861389,1.58,89.2900009,6.96,3.75,0.06,0.07,91.7399979,Cultivated Crops,0.5
721,729843.83030,538956.07210,234117640300tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,20,90.5256,186, , ,West,IN149,PlB,162626,9.859999657,1015.359985,223.5786896,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Developed_ Open Space,0.330000013
722,729854.84340,538954.95270,234117640300tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,90.726768,179, , ,West,IN149,Wk,162636,9.859999657,1015.359985,223.6609039,1.9400001,87.7600021,7.52,4.7199998,0.08,0.09,91.7399979,Developed_ Open Space,0.529999971
723,731847.84850,521026.86190,232113200400tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,20,200.16216,182, , ,West,IN099,GdnA,2451235,9.880000114,1034.339966,224.4829865,3.53,77.1800003,13.3500004,9.4700003,0.14,0.11,16.25,Cultivated Crops,0.720000029
724,726437.06510,534337.28470,233117440600tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,20,14.282928,183.75, , ,West,IN149,PtA,162628,9.829999924,1015.299988,221.3663177,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,Deciduous Forest,0.370000005
725,728803.55150,533465.62360,233117600540tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,13.07592,311.75, , ,West,IN149,Mr,162620,9.859999657,1016.549988,224.4727478,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Developed_ Open Space,0.370000005
726,704433.47350,554640.01900,235137240600tree1,William Clark,1834,IN,LaPorte,NA,tree1,Oak,Yellow Oak,y oak,Oak,20,16.495776,8, , ,West,IN091,TcB,272695,9.840000153,1008.219971,229.0259705,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,Deciduous Forest,0.550000012
727,720839.45320,518443.70310,232117140200tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,Black Oak,B oak,Oak,20,63.166752,225.5, , ,West,IN149,Mr,162620,9.829999924,1019,218.4698029,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Deciduous Forest,0.370000005
728,707589.55540,549649.60380,235137440300tree2,William Clark,1834,IN,LaPorte,NA,tree2,Oak,White Oak,w oak,Oak,20,13.277088,187, , ,West,IN091,TcA,272694,9.789999962,1002.619995,218.0756989,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,Cultivated Crops,0.550000012
729,729257.55150,524502.21870,232117640600tree2,Abner E. VanNess,1834,IN,Starke,NA,tree2,Oak,White Oak,W oak,Oak,20,40.635936,171, , ,West,IN149,MpB,162619,9.819999695,1025.160034,232.7169037,0.6,68.3899994,21.3700008,10.2399998,0.22,0.12,62.0099983,Developed_ Open Space,0.589999974
730,733307.92890,538932.48400,234113240300tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W oak,Oak,20,8.449056,191, , ,West,IN099,BsxA,2481932,9.920000076,1016.51001,240.8904266,0.6,86.9800034,8.7399998,4.2800002,0.1,0.09,91.7399979,Cultivated Crops,0.419999987
731,708821.80590,520579.50170,232137600300tree1,Abner E. Van Ness,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,21.524976,128, , ,West,IN149,Mr,162620,9.859999657,984.2299805,216.1627502,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Developed_ Open Space,0.370000005
732,708801.18630,520575.86700,232137600300tree2,Abner E. Van Ness,1834,IN,Starke,NA,tree2,Oak,Black Oak,b oak,Oak,20,18.10512,191, , ,West,IN149,Mr,162620,9.859999657,984.2299805,216.2655945,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Developed_ Open Space,0.370000005
733,739868.59510,517750.00000,232113700200tree1,Sylvester Sibley,1833,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,20,23.938992,356, , ,West,IN099,WftA,2481973,9.850000381,1027.73999,239.0786133,2.24,27.2600002,52.7799988,19.9599991,0.37,0.2,7.1900001,Developed_ Open Space,0.920000017
734,739864.39970,517706.61640,232113700200tree2,Sylvester Sibley,1833,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,20,20.1168,192, , ,West,IN099,WkxB,2481976,9.850000381,1027.73999,240.2129517,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,Developed_ Open Space,0.790000021
735,706419.83570,540069.27030,234137400300tree1,Jeremiah Smith,1835,IN,LaPorte,NA,tree1,Oak,Black Oak,b oak,Oak,20,1.408176,53.5, , ,West,IN091,BtA,272649,9.779999733,998.1900024,206.8480072,0.54,88.9199982,7.3099999,3.77,0.12,0.07,91.7399979,Cultivated Crops,0.389999986
736,708078.48950,540768.38140,234137500340tree2,Jeremiah Smith,1835,IN,LaPorte,NA,tree2,Oak,Black Oak,b oak,Oak,20,29.16936,164.5, , ,West,IN091,Br,272648,9.779999733,999.1500244,206.4498291,1.27,72.2099991,17.5599995,10.2299995,0.12,0.12,65.6999969,Herbaceous,0.519999981
737,726560.09320,537573.64760,234117440200tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,20,15.0876,231.75, , ,West,IN149,BeA,162607,9.819999695,1014.109985,218.988739,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,Developed_ Open Space,0.319999993
738,708865.28150,522185.99630,232137600400tree1,Abner E. Van Ness,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,5.0292,340, , ,West,IN149,PtA,162628,9.850000381,984.7399902,214.7561188,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,Developed_ Low Intensity,0.370000005
739,707270.21110,523059.72470,232137500440tree1,Abner E. Van Ness,1834,IN,Starke,NA,tree1,Oak,Black Oak,b oak,Oak,20,4.02336,25, , ,West,IN149,PlB,162626,9.869999886,983.3499756,211.4904327,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Developed_ Open Space,0.330000013
740,732645.77990,542235.88710,234113200500tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,20,53.510688,12, , ,West,IN099,TxuB,1702570,9.890000343,1016.22998,226.1250305,0.48,88.9300003,6.6500001,4.4200001,0.08,0.09,91.7399979,Cultivated Crops,0.460000008
