"","POINT_X","density","Line"
"454",715754.6,243.32797598,"West"
"455",715790.665,86.3173112051,"West"
"456",715801.7185,149.411633477,"West"
"457",715826.73,21.2241586818,"West"
"458",715862.5035,0.0492319432602,"West"
"459",715872.4543,39.4571079657,"West"
"460",715898.27,0,"West"
"461",715932.0688,0,"West"
"462",715945.1929,0,"West"
"463",715953.5809,51.0198993132,"West"
"464",715965.86,0,"West"
"465",715996.3092,3.39299568013,"West"
"466",715999.2,170.268812181,"West"
"467",716029.1913,0,"West"
"468",716030.3204,0,"West"
"469",716061.44,95.6445429047,"West"
"470",716091.0227,0,"West"
"471",716094.3471,0,"West"
"472",716127.25,0,"West"
"473",716161.5176,0,"West"
"474",716234.87,1.32372203484,"West"
"475",716302.8891,171.338906332,"West"
"476",716406.692,0,"West"
"477",716431.4567,0,"West"
"478",716461.66,0,"West"
"479",716489.4913,0.422456170425,"West"
"480",716500.0689,8.43786340373,"West"
"481",716538.47,411.434203993,"West"
"482",716555.5487,6.41720208849,"West"
"483",716574.33,0.077063297155,"West"
"484",716610.19,245.339804871,"West"
"485",716627.8628,0,"West"
"486",716647.5972,25.9188873098,"West"
"487",716685.01,16.3010076948,"West"
"488",716693.5295,0.439608553175,"West"
"489",716726.3803,38.8319935972,"West"
"490",716757.17,1.33492864511,"West"
"491",716758.125,188.209056279,"West"
"492",716767.75,0,"West"
"493",716799.4403,14.1611533803,"West"
"494",716799.7086,0,"West"
"495",716822.5084,0,"West"
"496",716841.71,0,"West"
"497",716869.8624,0.802794720917,"West"
"498",716871.3162,0.974734840377,"West"
"499",716898.02,0,"West"
"500",716935.6448,0,"West"
"501",716937.083,0.0652427339566,"West"
"502",716972.78,53.7137117554,"West"
"503",717007.235,0,"West"
"504",717007.4502,0.533576514236,"West"
"505",717042.12,3.38944062619,"West"
"506",717072.375,0,"West"
"507",717077.5754,0,"West"
"508",717113.03,3.02331264676,"West"
"509",717203.5873,10.8357991694,"West"
"510",717206.2849,0,"West"
"511",717221.26,14.5798508504,"West"
"512",717255.3649,8.40856626136,"West"
"513",717289.47,23.9577956512,"West"
"514",717322.9844,25.2589349752,"West"
"515",717344.6432,4.1395232948,"West"
"516",717356.5,4.49654375172,"West"
"517",717392.7464,30.5670558392,"West"
"518",717417.7044,0,"West"
"519",717428.99,2.13068852059,"West"
"520",717458.8888,107.77262221,"West"
"521",717488.78,0.618744627541,"West"
"522",717496.2698,12.1382189867,"West"
"523",717519.5857,68.9448157053,"West"
"524",717550.39,28.0721855435,"West"
"525",717576.2229,66.4002892881,"West"
"526",717584.3242,0.226220899966,"West"
"527",717618.26,0,"West"
"528",717643.6076,0,"West"
"529",717649.7247,0.421643201316,"West"
"530",717681.19,0,"West"
"531",717706.3976,0,"West"
"532",717778.991,15.7526660559,"West"
"533",717811.07,0,"West"
"534",717865.8289,0,"West"
"535",717876.13,79.3030318812,"West"
"536",717905.8921,0,"West"
"537",717937.6942,31.9889009711,"West"
"538",718011.32,0,"West"
"539",718027.8105,0,"West"
"540",718042.3634,0,"West"
"541",718073.41,4.6095207023,"West"
"542",718095.134,162.934779368,"West"
"543",718112.1095,128.09857677,"West"
"544",718150.81,0,"West"
"545",718161.6968,9.32556592848,"West"
"546",718225.22,0,"West"
"547",718232.0852,46.7391552952,"West"
"548",718266.3769,0,"West"
"549",718307.53,0,"West"
