"","X","FID","density","basal","POINT_X","POINT_Y","Line","water","notree","nodata","Type","distance"
"138",368,183,53.4370128113,8.47508035832,757790.6245,520320.5591,"East",NA," ",NA,"Forest",11598.7238176289
"139",370,184,56.3910682243,12.0295597059,758573.2795,518703.1032,"East",NA," ",NA,"Forest",12500.1226281957
"140",372,185,1.96454272621,0.546501222316,753097.3681,524555.507,"East",NA," ",NA,"Savanna",6653.08911511448
"141",374,186,67.6500277978,33.0447391446,757894.6752,523560.1478,"East",NA," ",NA,"Forest",11327.4258599014
"142",376,187,252.338090347,188.723718116,759370.7322,517876.0392,"East",NA," ",NA,"Forest",13280.1498233938
"143",378,188,102.364686959,24.7414903317,757877.3712,522746.8147,"East",NA," ",NA,"Forest",11317.9538741503
"144",380,189,25.3237793143,9.29018582537,759468.0328,521918.0801,"East",NA," ",NA,"Savanna",12966.7367151189
"145",382,190,510.736196537,186.331572454,756284.9316,522770.9743,"East",NA," ",NA,"Forest",9726.18708912531
"146",384,191,42.5554429044,3.2129110182,759450.9936,520293.6417,"East",NA," ",NA,"Savanna",13217.533951234
"147",386,192,0,0,759420.9475,519490.2795,"East",NA," ",NA,"Prairie",13391.8630556537
"148",388,193,94.6826603297,44.5221104565,759459.5132,521105.8609,"East",NA," ",NA,"Forest",13067.515440327
"149",390,194,106.81658586,91.1461008029,751501.5381,523770.3586,"East",NA," ",NA,"Forest",4956.47640420124
"150",392,195,2.08999873444,0.191682256199,759390.9014,518686.9173,"East",NA," ",NA,"Savanna",13315.9813704863
"151",394,196,126.369610968,7.23566425191,758698.7178,523544.8985,"East",NA," ",NA,"Forest",12130.8441944181
"152",396,197,503.126400229,29.5727975516,757056.3429,521952.0088,"East",NA," ",NA,"Forest",10566.7378413831
"153",398,198,267.217934287,91.5312962762,753105.6755,523761.3489,"East",NA," ",NA,"Forest",6553.5360794438
"154",400,199,149.51149419,38.7883992663,753041.9112,520483.5217,"East",NA," ",NA,"Forest",7015.98727000414
"155",402,200,111.39794684,75.9201024427,750529.2756,517373.7237,"East",NA," ",NA,"Forest",4452.73833578687
"156",404,201,295.750353257,168.591280434,752927.3932,517273.4811,"East",NA," ",NA,"Forest",6851.71951217431
"157",406,202,72.3083633873,15.9746861989,753885.0485,522049.2116,"East",NA," ",NA,"Forest",7413.81102974507
"158",408,203,144.626879387,35.2493738242,754708.4769,523608.6902,"East",NA," ",NA,"Forest",8144.67951516344
"159",410,204,112.242668837,11.8298335529,751497.0784,524592.9535,"East",NA," ",NA,"Forest",5102.46415592734
"160",412,205,645.221740765,65.3877363444,754650.958,521214.7152,"East",NA," ",NA,"Forest",8335.21779847544
"161",414,206,1782.54921397,415.034404035,755512.8607,523590.0515,"East",NA," ",NA,"Forest",8947.69906853075
"162",416,207,278.088712869,59.7456834013,756087.1108,515546.5623,"East",NA," ",NA,"Forest",10232.4842737672
"163",418,208,41.9026361218,7.55872696559,753782.7276,518847.5963,"East",NA," ",NA,"Savanna",7732.93837893053
"164",420,209,209.481178538,29.4023533311,751490.2215,522962.22,"East",NA," ",NA,"Forest",4928.20417491093
"165",422,210,1782.54921397,26.7934134455,753100.7495,522922.4326,"East",NA," ",NA,"Forest",6538.42641441432
"166",424,211,30.2918952785,5.21870416384,767684.1807,519305.7053,"East",NA," ",NA,"Savanna",21480.5600180042
